,timestep,depth,Salinity,Theta
391,391,-59.317287,36.20472,24.850855
392,392,-59.467716,36.205105,24.845161
393,393,-59.618145,36.205494,24.839468
394,394,-59.768574,36.20588,24.833775
395,395,-59.919,36.206264,24.828081
396,396,-60.069427,36.20665,24.822388
397,397,-60.219856,36.20704,24.816694
398,398,-60.370285,36.207153,24.81157
399,399,-60.52071,36.207096,24.806822
400,400,-60.67114,36.207035,24.802074
401,401,-60.821568,36.206974,24.797327
402,402,-60.971996,36.206913,24.79258
403,403,-61.12242,36.206852,24.787832
404,404,-61.27285,36.20679,24.783085
405,405,-61.42328,36.20673,24.778337
406,406,-61.573708,36.20667,24.77359
407,407,-61.724133,36.206608,24.768843
408,408,-61.87456,36.206547,24.764095
409,409,-62.02499,36.206486,24.759348
410,410,-62.17542,36.20643,24.7546
411,411,-62.325844,36.206367,24.749853
412,412,-62.476273,36.206306,24.745106
413,413,-62.6267,36.206245,24.740358
414,414,-62.77713,36.206184,24.735611
415,415,-62.927555,36.206123,24.730865
416,416,-63.077984,36.206062,24.726118
417,417,-63.228413,36.206,24.72137
418,418,-63.37884,36.20594,24.716623
419,419,-63.52927,36.20588,24.711876
420,420,-63.679695,36.20582,24.707129
421,421,-63.830124,36.20576,24.702381
422,422,-63.980553,36.2057,24.697634
423,423,-64.13098,36.20564,24.692886
424,424,-64.2814,36.205578,24.688139
425,425,-64.43184,36.205517,24.683392
426,426,-64.58226,36.205456,24.678644
427,427,-64.73269,36.205395,24.673897
428,428,-64.88312,36.205334,24.66915
429,429,-65.03355,36.205273,24.664402
430,430,-65.183975,36.20521,24.659655
431,431,-65.334404,36.20515,24.654907
432,432,-65.48483,36.20509,24.65016
433,433,-65.63526,36.205032,24.645412
434,434,-65.78568,36.20497,24.640665
435,435,-65.93611,36.20491,24.635918
436,436,-66.08654,36.20485,24.63117
437,437,-66.23697,36.20479,24.626423
438,438,-66.3874,36.204727,24.621675
439,439,-66.53783,36.204666,24.616928
440,440,-66.688255,36.204605,24.61218
441,441,-66.838684,36.204544,24.607433
442,442,-66.989105,36.204483,24.602686
443,443,-67.139534,36.204422,24.597939
444,444,-67.28996,36.204365,24.593191
445,445,-67.44039,36.204304,24.588444
446,446,-67.59082,36.204243,24.583696
447,447,-67.74125,36.20418,24.578949
448,448,-67.89168,36.20412,24.574202
449,449,-68.04211,36.20406,24.569454
450,450,-68.192535,36.204,24.564707
451,451,-68.34296,36.203938,24.55996
452,452,-68.493385,36.203876,24.555212
453,453,-68.643814,36.203815,24.550465
