timestep,depth,Salinity,lat,lon
397,-60.219856,36.20704,25.601171,-79.479164
398,-60.370285,36.207153,25.601171,-79.479164
399,-60.52071,36.207096,25.601171,-79.479164
400,-60.67114,36.207035,25.601171,-79.479164
401,-60.821568,36.206974,25.601171,-79.479164
402,-60.971996,36.206913,25.601171,-79.479164
403,-61.12242,36.206852,25.601171,-79.479164
404,-61.27285,36.20679,25.601171,-79.479164
405,-61.42328,36.20673,25.601171,-79.479164
406,-61.573708,36.20667,25.601171,-79.479164
407,-61.724133,36.206608,25.601171,-79.479164
408,-61.87456,36.206547,25.601171,-79.479164
409,-62.02499,36.206486,25.601171,-79.479164
410,-62.17542,36.20643,25.601171,-79.479164
411,-62.325844,36.206367,25.601171,-79.479164
412,-62.476273,36.206306,25.601171,-79.479164
413,-62.6267,36.206245,25.601171,-79.479164
414,-62.77713,36.206184,25.601171,-79.479164
415,-62.927555,36.206123,25.601171,-79.479164
416,-63.077984,36.206062,25.601171,-79.479164
417,-63.228413,36.206,25.601171,-79.479164
418,-63.37884,36.20594,25.601171,-79.479164
419,-63.52927,36.20588,25.601171,-79.479164
420,-63.679695,36.20582,25.601171,-79.479164
421,-63.830124,36.20576,25.601171,-79.479164
422,-63.980553,36.2057,25.601171,-79.479164
423,-64.13098,36.20564,25.601171,-79.479164
424,-64.2814,36.205578,25.601171,-79.479164
425,-64.43184,36.205517,25.601171,-79.479164
426,-64.58226,36.205456,25.601171,-79.479164
427,-64.73269,36.205395,25.601171,-79.479164
428,-64.88312,36.205334,25.601171,-79.479164
429,-65.03355,36.205273,25.601171,-79.479164
430,-65.183975,36.20521,25.601171,-79.479164
431,-65.334404,36.20515,25.601171,-79.479164
432,-65.48483,36.20509,25.601171,-79.479164
433,-65.63526,36.205032,25.601171,-79.479164
434,-65.78568,36.20497,25.601171,-79.479164
435,-65.93611,36.20491,25.601171,-79.479164
436,-66.08654,36.20485,25.601171,-79.479164
437,-66.23697,36.20479,25.601171,-79.479164
438,-66.3874,36.204727,25.601171,-79.479164
439,-66.53783,36.204666,25.601171,-79.479164
440,-66.688255,36.204605,25.601171,-79.479164
441,-66.838684,36.204544,25.601171,-79.479164
442,-66.989105,36.204483,25.601171,-79.479164
443,-67.139534,36.204422,25.601171,-79.479164
444,-67.28996,36.204365,25.601171,-79.479164
445,-67.44039,36.204304,25.601171,-79.479164
446,-67.59082,36.204243,25.601171,-79.479164
447,-67.74125,36.20418,25.601171,-79.479164
448,-67.89168,36.20412,25.601171,-79.479164
449,-68.04211,36.20406,25.601171,-79.479164
450,-68.192535,36.204,25.601171,-79.479164
451,-68.34296,36.203938,25.601171,-79.479164
452,-68.493385,36.203876,25.601171,-79.479164
453,-68.643814,36.203815,25.601171,-79.479164
454,-68.79424,36.20388,25.601171,-79.479164
455,-68.94467,36.20399,25.601171,-79.479164
456,-69.0951,36.2041,25.601171,-79.479164
457,-69.24553,36.204212,25.601171,-79.479164
458,-69.39596,36.204323,25.601171,-79.479164
459,-69.54638,36.204433,25.601171,-79.479164
460,-69.69681,36.204544,25.601171,-79.479164
461,-69.84724,36.204655,25.601171,-79.479164
462,-69.997665,36.204765,25.601171,-79.479164
463,-70.148094,36.204876,25.601171,-79.479164
464,-70.29852,36.204987,25.601171,-79.479164
465,-70.44895,36.205097,25.601171,-79.479164
