,time,Lizzy_angle,Perry_angle,BentHighNick_angle,radius,frames
4993,2012-06-28 13:45:00,290.78316466105593,341.46113415192013,265.2087878388177,0.7472273567467652,10247
5042,2012-06-29 02:00:00,259.43042310416115,260.0671711947799,32.17879061247754,0.7547751078250154,10272
5093,2012-06-29 14:45:00,271.0815443408293,299.279426465282,307.48399918189153,0.7626309303758472,10298
5138,2012-06-30 02:00:00,245.422874234659,156.99018014291892,6.687319362530673,0.7695625385089341,10321
5164,2012-06-30 08:30:00,349.6495812410296,186.7416963362175,258.8499754887109,0.7735674676524954,10335
5259,2012-07-01 08:15:00,284.76302549299834,290.092364880839,284.4528566772922,0.7882008626001232,10383
5334,2012-07-02 03:00:00,283.4275813898654,186.22255404464948,77.28509107581954,0.7997535428219347,10421
5354,2012-07-02 08:00:00,296.7720305401793,307.9149877800236,75.49622991958665,0.8028342575477511,10431
5384,2012-07-02 15:30:00,283.9690926276745,156.60795414047038,82.20514211918425,0.8074553296364757,10447
5422,2012-07-03 01:00:00,267.0447044438332,300.8663979506498,359.20228622079736,0.8133086876155268,10466
5429,2012-07-03 02:45:00,277.9513509333772,278.6449661468966,71.93955657563299,0.8143869377695625,10470
5430,2012-07-03 03:00:00,296.229675663888,282.8301015105814,89.40868229530986,0.8145409735058533,10470
5449,2012-07-03 07:45:00,299.5758754405438,260.0671711947799,354.1062768864213,0.8174676524953789,10480
5450,2012-07-03 08:00:00,301.5324487346335,252.2229214106017,0.7520752498411412,0.8176216882316697,10480
5472,2012-07-03 13:30:00,295.334681320105,180.23440979105553,184.61435530387644,0.8210104744300678,10492
5478,2012-07-03 15:00:00,292.8351815551842,171.69234917697202,297.10600440565156,0.8219346888478127,10495
5479,2012-07-03 15:15:00,281.4733117669992,164.78003953449388,342.5262475990871,0.8220887245841035,10495
5523,2012-07-04 02:15:00,299.326231904195,273.9435900408082,71.84230491626454,0.8288662969808995,10518
5573,2012-07-04 14:45:00,264.3181332579948,354.20957526591195,47.554369192388265,0.8365680837954406,10543
5611,2012-07-05 00:15:00,303.48574643210645,285.31375555290174,255.1900725593411,0.8424214417744916,10563
5613,2012-07-05 00:45:00,303.2903907547379,279.3340654275979,273.4701436567279,0.8427295132470733,10564
5641,2012-07-05 07:45:00,176.2677137086805,271.6119145193075,266.48085137499766,0.8470425138632163,10578
5663,2012-07-05 13:15:00,285.5758988873166,12.187316764799334,34.52164195596481,0.8504313000616143,10589
5667,2012-07-05 14:15:00,245.422874234659,17.843095180444948,346.4111721236095,0.8510474430067776,10591
5708,2012-07-06 00:30:00,263.4371103780718,244.43723937228592,264.64440631408513,0.8573629081947012,10612
5712,2012-07-06 01:30:00,264.08092053969506,237.72532309436863,274.83637065975586,0.8579790511398645,10614
5715,2012-07-06 02:15:00,261.44782263353886,255.22682989966304,309.3257463209078,0.8584411583487369,10616
5736,2012-07-06 07:30:00,153.3017573757453,305.45113859876244,71.64854883337046,0.8616759088108441,10626
5765,2012-07-06 14:45:00,236.33746704279991,168.838573373587,76.63694934398302,0.8661429451632778,10641
5769,2012-07-06 15:45:00,237.96528817287847,148.4862377365609,73.9167593836321,0.8667590881084412,10643
5804,2012-07-07 00:30:00,259.1178999836211,307.70392907480687,269.68150096044985,0.8721503388786198,10661
5807,2012-07-07 01:15:00,262.9554958756112,299.0072408118726,260.54078123644973,0.8726124460874923,10663
5810,2012-07-07 02:00:00,260.54929076549746,311.656285859395,257.03159024087597,0.8730745532963647,10664
5814,2012-07-07 03:00:00,239.0239064183416,296.6182934086127,246.4566435150637,0.8736906962415281,10666
5860,2012-07-07 14:30:00,264.79615624208935,164.48003566351463,56.65014822855022,0.8807763401109058,10690
5901,2012-07-08 00:45:00,291.13608517283683,154.18066951644835,282.2769734668461,0.8870918052988294,10711
5908,2012-07-08 02:30:00,294.5080304908329,174.4338007253358,262.31770588462507,0.8881700554528651,10714
5955,2012-07-08 14:15:00,225.40826616370015,219.98223667807105,55.73863861242296,0.8954097350585336,10738
5958,2012-07-08 15:00:00,247.5820612116171,163.25338599918632,71.9019277828217,0.895871842267406,10740
6027,2012-07-09 08:15:00,308.77977727766813,256.54020264531385,292.9824659557531,0.9065003080714725,10775
6095,2012-07-10 01:15:00,276.0807338440884,158.8280696684667,294.7792696799386,0.9169747381392483,10810
6124,2012-07-10 08:30:00,278.9594276164389,249.70739345526025,268.31283430161847,0.9214417744916821,10824
6146,2012-07-10 14:00:00,297.77404563325786,301.2179763480335,220.92285410505696,0.9248305606900801,10836
6147,2012-07-10 14:15:00,294.9617949807061,300.46270961580603,205.3237440563063,0.9249845964263709,10836
6154,2012-07-10 16:00:00,304.42396624267974,299.19637912331183,243.38107660084913,0.9260628465804066,10840
6192,2012-07-11 01:30:00,263.8105589178372,153.68101218145864,248.3022151063459,0.9319162045594578,10859
6242,2012-07-11 14:00:00,235.21609136300893,162.6232929634632,77.43307198789694,0.9396179913739988,10885
