timestep,depth,Theta,lat,lon
422,-63.980553,24.697634,25.601171,-79.479164
423,-64.13098,24.692886,25.601171,-79.479164
424,-64.2814,24.688139,25.601171,-79.479164
425,-64.43184,24.683392,25.601171,-79.479164
426,-64.58226,24.678644,25.601171,-79.479164
427,-64.73269,24.673897,25.601171,-79.479164
428,-64.88312,24.66915,25.601171,-79.479164
429,-65.03355,24.664402,25.601171,-79.479164
430,-65.183975,24.659655,25.601171,-79.479164
431,-65.334404,24.654907,25.601171,-79.479164
432,-65.48483,24.65016,25.601171,-79.479164
433,-65.63526,24.645412,25.601171,-79.479164
434,-65.78568,24.640665,25.601171,-79.479164
435,-65.93611,24.635918,25.601171,-79.479164
436,-66.08654,24.63117,25.601171,-79.479164
437,-66.23697,24.626423,25.601171,-79.479164
438,-66.3874,24.621675,25.601171,-79.479164
439,-66.53783,24.616928,25.601171,-79.479164
440,-66.688255,24.61218,25.601171,-79.479164
441,-66.838684,24.607433,25.601171,-79.479164
442,-66.989105,24.602686,25.601171,-79.479164
443,-67.139534,24.597939,25.601171,-79.479164
444,-67.28996,24.593191,25.601171,-79.479164
445,-67.44039,24.588444,25.601171,-79.479164
446,-67.59082,24.583696,25.601171,-79.479164
447,-67.74125,24.578949,25.601171,-79.479164
448,-67.89168,24.574202,25.601171,-79.479164
449,-68.04211,24.569454,25.601171,-79.479164
450,-68.192535,24.564707,25.601171,-79.479164
451,-68.34296,24.55996,25.601171,-79.479164
452,-68.493385,24.555212,25.601171,-79.479164
453,-68.643814,24.550465,25.601171,-79.479164
454,-68.79424,24.547228,25.601171,-79.479164
455,-68.94467,24.54456,25.601171,-79.479164
456,-69.0951,24.54189,25.601171,-79.479164
457,-69.24553,24.53922,25.601171,-79.479164
458,-69.39596,24.536552,25.601171,-79.479164
459,-69.54638,24.533884,25.601171,-79.479164
460,-69.69681,24.531214,25.601171,-79.479164
461,-69.84724,24.528545,25.601171,-79.479164
462,-69.997665,24.525877,25.601171,-79.479164
463,-70.148094,24.523209,25.601171,-79.479164
464,-70.29852,24.520538,25.601171,-79.479164
465,-70.44895,24.51787,25.601171,-79.479164
466,-70.59938,24.515202,25.601171,-79.479164
467,-70.7498,24.512533,25.601171,-79.479164
468,-70.90023,24.509863,25.601171,-79.479164
469,-71.05066,24.507195,25.601171,-79.479164
470,-71.20109,24.504526,25.601171,-79.479164
471,-71.35152,24.501856,25.601171,-79.479164
472,-71.501945,24.499187,25.601171,-79.479164
473,-71.652374,24.49652,25.601171,-79.479164
474,-71.8028,24.49385,25.601171,-79.479164
475,-71.953224,24.49118,25.601171,-79.479164
476,-72.10365,24.488512,25.601171,-79.479164
477,-72.25408,24.485844,25.601171,-79.479164
478,-72.40451,24.483175,25.601171,-79.479164
479,-72.55494,24.480505,25.601171,-79.479164
480,-72.70537,24.477837,25.601171,-79.479164
481,-72.8558,24.475168,25.601171,-79.479164
482,-73.006226,24.4725,25.601171,-79.479164
483,-73.156654,24.46983,25.601171,-79.479164
484,-73.307076,24.467161,25.601171,-79.479164
485,-73.457504,24.464493,25.601171,-79.479164
486,-73.60793,24.461824,25.601171,-79.479164
487,-73.75836,24.459154,25.601171,-79.479164
488,-73.90879,24.456486,25.601171,-79.479164
489,-74.05922,24.453817,25.601171,-79.479164
490,-74.20965,24.451149,25.601171,-79.479164
491,-74.36008,24.448479,25.601171,-79.479164
492,-74.5105,24.44581,25.601171,-79.479164
493,-74.66093,24.443142,25.601171,-79.479164
494,-74.811356,24.440474,25.601171,-79.479164
495,-74.961784,24.437803,25.601171,-79.479164
496,-75.11221,24.435135,25.601171,-79.479164
497,-75.26264,24.432467,25.601171,-79.479164
498,-75.41307,24.429798,25.601171,-79.479164
499,-75.5635,24.427128,25.601171,-79.479164
500,-75.71392,24.42446,25.601171,-79.479164
501,-75.86435,24.421791,25.601171,-79.479164
502,-76.01478,24.419123,25.601171,-79.479164
503,-76.16521,24.416452,25.601171,-79.479164
504,-76.315636,24.413784,25.601171,-79.479164
505,-76.466064,24.411116,25.601171,-79.479164
506,-76.61649,24.408447,25.601171,-79.479164
507,-76.76692,24.405777,25.601171,-79.479164
508,-76.91734,24.403109,25.601171,-79.479164
509,-77.06777,24.40044,25.601171,-79.479164
510,-77.2182,24.397772,25.601171,-79.479164
511,-77.36863,24.395102,25.601171,-79.479164
512,-77.51906,24.392433,25.601171,-79.479164
513,-77.66949,24.389765,25.601171,-79.479164
514,-77.819916,24.387096,25.601171,-79.479164
515,-77.970345,24.384483,25.601171,-79.479164
516,-78.12077,24.383404,25.601171,-79.479164
517,-78.271194,24.382326,25.601171,-79.479164
518,-78.42162,24.381247,25.601171,-79.479164
519,-78.57205,24.380169,25.601171,-79.479164
520,-78.72248,24.37909,25.601171,-79.479164
521,-78.87291,24.378012,25.601171,-79.479164
522,-79.02334,24.376932,25.601171,-79.479164
523,-79.17377,24.375854,25.601171,-79.479164
524,-79.324196,24.374775,25.601171,-79.479164
525,-79.47462,24.373697,25.601171,-79.479164
526,-79.625046,24.372618,25.601171,-79.479164
527,-79.775475,24.37154,25.601171,-79.479164
528,-79.9259,24.37046,25.601171,-79.479164
529,-80.07633,24.369383,25.601171,-79.479164
530,-80.22676,24.368303,25.601171,-79.479164
531,-80.37719,24.367224,25.601171,-79.479164
532,-80.52762,24.366146,25.601171,-79.479164
533,-80.67804,24.365067,25.601171,-79.479164
534,-80.82847,24.363989,25.601171,-79.479164
535,-80.9789,24.36291,25.601171,-79.479164
536,-81.129326,24.361832,25.601171,-79.479164
537,-81.279755,24.360752,25.601171,-79.479164
538,-81.43018,24.359674,25.601171,-79.479164
539,-81.58061,24.358595,25.601171,-79.479164
540,-81.73104,24.357517,25.601171,-79.479164
541,-81.88146,24.356438,25.601171,-79.479164
542,-82.03189,24.35536,25.601171,-79.479164
543,-82.18232,24.35428,25.601171,-79.479164
544,-82.33275,24.353203,25.601171,-79.479164
545,-82.48318,24.352123,25.601171,-79.479164
546,-82.633606,24.351046,25.601171,-79.479164
547,-82.784035,24.349966,25.601171,-79.479164
548,-82.93446,24.348888,25.601171,-79.479164
549,-83.08489,24.347809,25.601171,-79.479164
550,-83.23531,24.346731,25.601171,-79.479164
551,-83.38574,24.345652,25.601171,-79.479164
552,-83.53617,24.344572,25.601171,-79.479164
553,-83.6866,24.343494,25.601171,-79.479164
554,-83.83703,24.342415,25.601171,-79.479164
555,-83.98746,24.341337,25.601171,-79.479164
556,-84.137886,24.340258,25.601171,-79.479164
557,-84.288315,24.33918,25.601171,-79.479164
558,-84.438736,24.3381,25.601171,-79.479164
559,-84.589165,24.337023,25.601171,-79.479164
560,-84.73959,24.335943,25.601171,-79.479164
561,-84.89002,24.334866,25.601171,-79.479164
562,-85.04045,24.333786,25.601171,-79.479164
563,-85.19088,24.332708,25.601171,-79.479164
564,-85.34131,24.331629,25.601171,-79.479164
565,-85.49174,24.330551,25.601171,-79.479164
566,-85.64216,24.329472,25.601171,-79.479164
567,-85.79259,24.328394,25.601171,-79.479164
568,-85.943016,24.327314,25.601171,-79.479164
569,-86.093445,24.326237,25.601171,-79.479164
570,-86.24387,24.325157,25.601171,-79.479164
571,-86.3943,24.324078,25.601171,-79.479164
572,-86.54473,24.323,25.601171,-79.479164
573,-86.69516,24.32192,25.601171,-79.479164
574,-86.84558,24.320843,25.601171,-79.479164
575,-86.99601,24.319763,25.601171,-79.479164
576,-87.14644,24.318686,25.601171,-79.479164
577,-87.29687,24.317606,25.601171,-79.479164
578,-87.447296,24.316528,25.601171,-79.479164
