timestep,depth,Salinity
471,-53.9431,36.190926
472,-54.05657,36.19122
473,-54.170036,36.19151
474,-54.283504,36.1918
475,-54.39697,36.192093
476,-54.510437,36.192383
477,-54.623905,36.192673
478,-54.737373,36.192966
479,-54.850838,36.193256
480,-54.964306,36.193546
481,-55.077774,36.19384
482,-55.191242,36.19413
483,-55.30471,36.19442
484,-55.418175,36.194714
485,-55.531643,36.195004
486,-55.64511,36.195293
487,-55.75858,36.195587
488,-55.872044,36.195877
489,-55.98551,36.196167
490,-56.09898,36.19646
491,-56.21245,36.19675
492,-56.325916,36.19704
493,-56.43938,36.197334
494,-56.55285,36.197624
495,-56.666317,36.197918
496,-56.779785,36.198208
497,-56.89325,36.198498
498,-57.006718,36.19879
499,-57.120186,36.19908
500,-57.233654,36.19937
501,-57.34712,36.199665
502,-57.460587,36.199955
503,-57.574055,36.200245
504,-57.687523,36.20054
505,-57.80099,36.20083
506,-57.914455,36.20112
507,-58.027924,36.201412
508,-58.14139,36.201702
509,-58.25486,36.201992
510,-58.368324,36.202286
511,-58.481792,36.202576
512,-58.59526,36.202866
513,-58.70873,36.20316
514,-58.822197,36.20345
515,-58.93566,36.20374
516,-59.04913,36.204033
517,-59.162598,36.204323
518,-59.276066,36.204613
519,-59.38953,36.204906
520,-59.503,36.205196
521,-59.616467,36.20549
522,-59.729935,36.20578
523,-59.843403,36.20607
524,-59.956867,36.206364
525,-60.070335,36.206654
526,-60.183804,36.206944
527,-60.29727,36.207184
528,-60.410736,36.207138
529,-60.524204,36.207092
530,-60.637672,36.207047
531,-60.75114,36.207
532,-60.864605,36.206955
533,-60.978073,36.20691
534,-61.09154,36.206863
535,-61.20501,36.206818
536,-61.318478,36.20677
537,-61.431942,36.206726
538,-61.54541,36.20668
539,-61.65888,36.206635
540,-61.772346,36.20659
541,-61.88581,36.206543
542,-61.99928,36.206497
543,-62.112747,36.20645
544,-62.226215,36.206406
545,-62.339684,36.20636
546,-62.453148,36.206314
547,-62.566616,36.20627
548,-62.680084,36.206223
549,-62.793552,36.206177
550,-62.907017,36.20613
551,-63.020485,36.206085
552,-63.133953,36.20604
553,-63.24742,36.205994
554,-63.360886,36.205948
555,-63.474354,36.205902
556,-63.587822,36.205856
557,-63.70129,36.20581
558,-63.81476,36.205765
559,-63.928223,36.20572
560,-64.04169,36.205673
561,-64.15516,36.205627
562,-64.26863,36.20558
563,-64.382095,36.205536
564,-64.49556,36.20549
565,-64.609024,36.205444
566,-64.722496,36.2054
567,-64.83596,36.205353
568,-64.94943,36.205307
569,-65.0629,36.20526
570,-65.17636,36.205215
571,-65.28983,36.20517
572,-65.4033,36.205124
573,-65.51677,36.20508
574,-65.63023,36.205032
575,-65.7437,36.204987
576,-65.85717,36.20494
577,-65.970634,36.204895
578,-66.08411,36.20485
579,-66.19757,36.204803
580,-66.311035,36.204758
581,-66.42451,36.204712
582,-66.53797,36.204666
583,-66.651436,36.20462
584,-66.76491,36.204575
585,-66.87837,36.20453
586,-66.991844,36.204483
587,-67.10531,36.204437
588,-67.21877,36.20439
589,-67.332245,36.204346
590,-67.44571,36.2043
591,-67.55918,36.204254
592,-67.672646,36.20421
593,-67.78611,36.204163
594,-67.89958,36.204117
595,-68.01305,36.20407
596,-68.12651,36.204025
597,-68.23998,36.20398
598,-68.35345,36.203934
599,-68.46692,36.203888
600,-68.58038,36.203842
601,-68.69385,36.203808
602,-68.80732,36.20389
603,-68.920784,36.20397
604,-69.034256,36.204056
605,-69.14772,36.20414
606,-69.261185,36.204224
607,-69.37466,36.204308
608,-69.48812,36.20439
609,-69.60159,36.204475
610,-69.71506,36.20456
611,-69.82852,36.204643
612,-69.94199,36.204723
613,-70.05546,36.204807
614,-70.16892,36.20489
615,-70.282394,36.204975
616,-70.39586,36.20506
617,-70.50933,36.205143
618,-70.622795,36.205227
619,-70.73626,36.20531
620,-70.84973,36.205395
621,-70.963196,36.205475
622,-71.07667,36.20556
623,-71.19013,36.205643
624,-71.3036,36.205727
625,-71.41707,36.20581
626,-71.53053,36.205894
627,-71.644,36.20598
628,-71.75747,36.206062
629,-71.87093,36.206146
630,-71.984406,36.206226
631,-72.09787,36.20631
632,-72.211334,36.206394
633,-72.32481,36.20648
634,-72.43827,36.206562
635,-72.55174,36.206646
636,-72.66521,36.20673
637,-72.77867,36.206814
638,-72.89214,36.206898
639,-73.00561,36.206978
640,-73.11908,36.20706
641,-73.232544,36.207146
642,-73.34601,36.20723
643,-73.45948,36.207314
644,-73.572945,36.207397
645,-73.68641,36.20748
646,-73.79988,36.207565
647,-73.913345,36.207645
648,-74.02682,36.20773
649,-74.14028,36.207813
650,-74.253746,36.207897
651,-74.36722,36.20798
652,-74.48068,36.208065
653,-74.594154,36.20815
654,-74.70762,36.208233
655,-74.82108,36.208317
656,-74.934555,36.208397
657,-75.04802,36.20848
658,-75.16148,36.208565
659,-75.274956,36.20865
660,-75.38842,36.208733
661,-75.50189,36.208817
662,-75.61536,36.2089
663,-75.72882,36.208984
664,-75.84229,36.20907
665,-75.95576,36.20915
666,-76.06923,36.209232
667,-76.18269,36.209316
668,-76.29616,36.2094
669,-76.40963,36.209484
670,-76.523094,36.209568
671,-76.63656,36.209652
672,-76.75003,36.209736
673,-76.863495,36.20982
674,-76.97697,36.2099
675,-77.09043,36.209984
676,-77.203896,36.210068
677,-77.31737,36.21015
678,-77.43083,36.210236
679,-77.544304,36.21032
680,-77.65777,36.210403
681,-77.77123,36.210487
682,-77.884705,36.21057
683,-77.99817,36.210705
684,-78.11164,36.210968
685,-78.225105,36.21123
686,-78.33857,36.211494
687,-78.45204,36.211758
688,-78.565506,36.21202
689,-78.67897,36.212284
690,-78.79244,36.212547
691,-78.90591,36.21281
692,-79.01938,36.213074
693,-79.13284,36.213337
694,-79.24631,36.2136
695,-79.35978,36.213863
696,-79.47324,36.214127
697,-79.586716,36.21439
698,-79.70018,36.214653
699,-79.813644,36.214916
700,-79.92712,36.21518
701,-80.04058,36.215443
702,-80.154045,36.215706
703,-80.26752,36.21597
704,-80.38098,36.216232
705,-80.49445,36.216496
706,-80.60792,36.21676
707,-80.72138,36.217022
708,-80.834854,36.217285
709,-80.94832,36.21755
710,-81.06179,36.21781
711,-81.175255,36.218075
