,Unnamed: 0,timestep,depth,Salinity,Theta,U,V,W
194,194,194,-29.683002,35.945618,26.105095,0.044474367,0.60499537,0.00015033912
195,195,195,-29.833431,35.946815,26.100687,0.043895468,0.60633487,0.00014941566
196,196,196,-29.983858,35.94801,26.09628,0.04331658,0.60767436,0.00014849222
197,197,197,-30.134287,35.949203,26.091871,0.04273768,0.60901386,0.00014756876
198,198,198,-30.284714,35.9504,26.087463,0.04215879,0.61035335,0.00014664531
199,199,199,-30.435143,35.951595,26.083055,0.04157989,0.61169285,0.00014572186
200,200,200,-30.58557,35.952793,26.078648,0.041001,0.61303234,0.00014479841
201,201,201,-30.735998,35.953987,26.07424,0.040422104,0.61437184,0.00014387496
202,202,202,-30.886425,35.95518,26.069832,0.039843213,0.61571133,0.00014295151
203,203,203,-31.036854,35.95638,26.065424,0.039264314,0.6170508,0.00014202805
204,204,204,-31.18728,35.957573,26.061016,0.038685426,0.6183903,0.00014110461
205,205,205,-31.33771,35.95877,26.056608,0.038106527,0.6197298,0.00014018115
206,206,206,-31.488136,35.959965,26.0522,0.037527636,0.6210693,0.0001392577
207,207,207,-31.638565,35.96116,26.047792,0.036948737,0.6224088,0.00013833425
208,208,208,-31.788992,35.962357,26.043385,0.036369845,0.6237483,0.0001374108
209,209,209,-31.93942,35.96355,26.038977,0.03579095,0.6250878,0.00013648735
210,210,210,-32.089848,35.964745,26.034569,0.03521206,0.6264273,0.0001355639
211,211,211,-32.240276,35.965942,26.03016,0.03463316,0.6277668,0.00013464043
212,212,212,-32.3907,35.967136,26.025753,0.03405428,0.6291063,0.000133717
213,213,213,-32.54113,35.968334,26.021345,0.03347538,0.6304458,0.00013279355
214,214,214,-32.69156,35.96953,26.016937,0.03289648,0.6317853,0.00013187008
215,215,215,-32.841988,35.970722,26.01253,0.032317583,0.63312477,0.00013094663
216,216,216,-32.992416,35.97192,26.008121,0.031738687,0.63446426,0.00013002317
217,217,217,-33.14284,35.973114,26.003714,0.031159803,0.63580376,0.00012909973
218,218,218,-33.29327,35.97431,25.999306,0.030580904,0.63714325,0.00012817628
219,219,219,-33.4437,35.975506,25.994898,0.030002007,0.63848275,0.00012725282
