timestep,depth,Theta
875,-99.78389,24.285881
876,-99.89736,24.284714
877,-100.010826,24.283548
878,-100.1243,24.282383
879,-100.23776,24.281216
880,-100.35123,24.28005
881,-100.4647,24.278883
882,-100.57816,24.277718
883,-100.69163,24.276552
884,-100.8051,24.275385
885,-100.918564,24.27422
886,-101.032036,24.273052
887,-101.1455,24.271887
888,-101.258965,24.270721
889,-101.37244,24.269554
890,-101.4859,24.268389
891,-101.59937,24.267221
892,-101.71284,24.266056
893,-101.8263,24.26489
894,-101.93977,24.263723
895,-102.05324,24.262558
896,-102.1667,24.261393
897,-102.280174,24.260225
898,-102.39364,24.25906
899,-102.50711,24.257893
900,-102.620575,24.256727
901,-102.73404,24.255562
902,-102.84751,24.254395
903,-102.960976,24.25323
904,-103.07445,24.252062
905,-103.18791,24.250896
906,-103.30138,24.249731
907,-103.41485,24.248564
908,-103.52831,24.247398
909,-103.641785,24.246231
910,-103.75525,24.245066
911,-103.86871,24.2439
912,-103.982185,24.242733
913,-104.09565,24.241568
914,-104.209114,24.2404
915,-104.322586,24.239235
916,-104.43605,24.23807
917,-104.54952,24.236902
918,-104.66299,24.235737
919,-104.77645,24.23457
920,-104.88992,24.233404
921,-105.00339,24.232239
922,-105.11686,24.231071
923,-105.23032,24.229906
924,-105.34379,24.228739
925,-105.45726,24.227573
926,-105.570724,24.226408
927,-105.68419,24.22524
928,-105.79766,24.224075
929,-105.911125,24.222908
930,-106.0246,24.221743
931,-106.13806,24.220577
932,-106.251526,24.21941
933,-106.365,24.218245
934,-106.47846,24.217077
935,-106.591934,24.215912
936,-106.7054,24.214746
937,-106.81886,24.21358
938,-106.932335,24.212414
939,-107.0458,24.211246
940,-107.15927,24.210081
941,-107.272736,24.208916
942,-107.3862,24.207748
943,-107.49967,24.206583
944,-107.61314,24.205416
945,-107.7266,24.20425
946,-107.84007,24.203085
947,-107.95354,24.201918
948,-108.06701,24.200752
949,-108.18047,24.199585
950,-108.29394,24.19842
951,-108.40741,24.197254
952,-108.520874,24.196087
953,-108.634346,24.194921
954,-108.74781,24.193754
955,-108.861275,24.192589
956,-108.97475,24.191423
957,-109.08821,24.190256
958,-109.201675,24.18909
959,-109.31515,24.187923
960,-109.42861,24.186758
961,-109.54208,24.185593
962,-109.65555,24.184425
963,-109.76901,24.18326
964,-109.882484,24.182093
965,-109.99595,24.180927
966,-110.10942,24.179762
967,-110.222885,24.178595
968,-110.33635,24.17743
969,-110.44982,24.176264
970,-110.563286,24.175097
971,-110.67676,24.173931
972,-110.79022,24.172764
973,-110.90369,24.171598
974,-111.01716,24.170433
975,-111.13062,24.169266
976,-111.24409,24.1681
977,-111.35756,24.166933
978,-111.47102,24.165768
979,-111.584496,24.164602
980,-111.69796,24.160995
981,-111.811424,24.157005
982,-111.9249,24.153013
983,-112.03836,24.149023
984,-112.15183,24.145031
985,-112.2653,24.14104
986,-112.37876,24.137049
987,-112.49223,24.133059
988,-112.6057,24.129066
989,-112.71916,24.125076
990,-112.832634,24.121084
991,-112.9461,24.117092
992,-113.05957,24.113102
993,-113.173035,24.10911
994,-113.2865,24.10512
995,-113.39997,24.101128
996,-113.513435,24.097137
997,-113.62691,24.093145
998,-113.74037,24.089155
999,-113.853836,24.085163
1000,-113.96731,24.081171
1001,-114.08077,24.07718
1002,-114.19424,24.07319
1003,-114.30771,24.069199
1004,-114.42117,24.065207
1005,-114.534645,24.061216
1006,-114.64811,24.057224
1007,-114.76157,24.053234
1008,-114.875046,24.049242
1009,-114.98851,24.045252
1010,-115.10198,24.04126
1011,-115.21545,24.03727
1012,-115.32891,24.033278
1013,-115.44238,24.029285
1014,-115.55585,24.025295
1015,-115.66932,24.021303
1016,-115.78278,24.017313
1017,-115.89625,24.01332
1018,-116.00972,24.00933
1019,-116.123184,24.005339
1020,-116.23665,24.001348
1021,-116.35012,23.997356
1022,-116.463585,23.993366
1023,-116.57706,23.989374
1024,-116.69052,23.985382
1025,-116.803986,23.981392
1026,-116.91746,23.9774
1027,-117.03092,23.97341
1028,-117.144394,23.969418
1029,-117.25786,23.965427
1030,-117.37132,23.961435
1031,-117.484795,23.957445
1032,-117.59826,23.953453
1033,-117.71172,23.949463
1034,-117.825195,23.94547
1035,-117.93866,23.941479
1036,-118.05213,23.937489
1037,-118.165596,23.933496
1038,-118.27906,23.929506
1039,-118.39253,23.925514
1040,-118.506,23.921524
1041,-118.61947,23.917532
1042,-118.73293,23.913542
1043,-118.8464,23.90955
1044,-118.95987,23.90556
1045,-119.07333,23.901567
1046,-119.186806,23.897575
1047,-119.30027,23.893585
1048,-119.413734,23.889593
1049,-119.52721,23.885603
1050,-119.64067,23.88161
1051,-119.754135,23.87762
1052,-119.86761,23.873629
1053,-119.98107,23.869638
1054,-120.09454,23.865646
1055,-120.20801,23.861656
1056,-120.32147,23.857664
1057,-120.434944,23.853672
1058,-120.54841,23.849682
1059,-120.66188,23.84569
1060,-120.775345,23.8417
1061,-120.88881,23.837708
1062,-121.00228,23.833717
1063,-121.115746,23.829725
1064,-121.22921,23.825735
