CHANNEL 	EVENT   	CLIP NAME                     	START TIME    	END TIME      	DURATION      	STATE
1       	662     	Heartbeat Tempo Mapped-38.L   	   00:04:18:24	   00:04:19:03	   00:00:00:08	Unmuted
1       	663     	Heartbeat Tempo Mapped-39.L   	   00:04:19:03	   00:04:19:21	   00:00:00:17	Unmuted
1       	664     	Heartbeat Tempo Mapped-40.L   	   00:04:19:22	   00:04:20:00	   00:00:00:08	Unmuted
1       	665     	Heartbeat Tempo Mapped-41.L   	   00:04:20:01	   00:04:20:01	   00:00:00:00	Unmuted
1       	666     	Heartbeat Tempo Mapped-42.L   	   00:04:20:01	   00:04:20:18	   00:00:00:17	Unmuted
1       	667     	Heartbeat Tempo Mapped-34.L   	   00:04:20:20	   00:04:20:28	   00:00:00:07	Unmuted
1       	668     	Heartbeat Tempo Mapped-35.L   	   00:04:20:28	   00:04:21:16	   00:00:00:18	Unmuted
1       	669     	Heartbeat Tempo Mapped-36.L   	   00:04:21:18	   00:04:21:26	   00:00:00:07	Unmuted
1       	670     	Heartbeat Tempo Mapped-37.L   	   00:04:21:26	   00:04:22:14	   00:00:00:17	Unmuted
1       	671     	Heartbeat Tempo Mapped-38.L   	   00:04:22:15	   00:04:22:24	   00:00:00:08	Unmuted
1       	672     	Heartbeat Tempo Mapped-39.L   	   00:04:22:24	   00:04:23:12	   00:00:00:17	Unmuted
1       	673     	Heartbeat Tempo Mapped-40.L   	   00:04:23:13	   00:04:23:21	   00:00:00:08	Unmuted
1       	674     	Heartbeat Tempo Mapped-41.L   	   00:04:23:22	   00:04:23:22	   00:00:00:00	Unmuted
1       	675     	Heartbeat Tempo Mapped-42.L   	   00:04:23:22	   00:04:24:10	   00:00:00:17	Unmuted
1       	676     	Heartbeat Tempo Mapped-34.L   	   00:04:24:11	   00:04:24:19	   00:00:00:07	Unmuted
1       	677     	Heartbeat Tempo Mapped-35.L   	   00:04:24:20	   00:04:25:08	   00:00:00:18	Unmuted
1       	678     	Heartbeat Tempo Mapped-36.L   	   00:04:25:09	   00:04:25:17	   00:00:00:07	Unmuted
1       	679     	Heartbeat Tempo Mapped-37.L   	   00:04:25:18	   00:04:26:06	   00:00:00:17	Unmuted
1       	680     	Heartbeat Tempo Mapped-38.L   	   00:04:26:07	   00:04:26:16	   00:00:00:08	Unmuted
1       	681     	Heartbeat Tempo Mapped-39.L   	   00:04:26:16	   00:04:27:04	   00:00:00:17	Unmuted
1       	682     	Heartbeat Tempo Mapped-40.L   	   00:04:27:05	   00:04:27:13	   00:00:00:08	Unmuted
1       	683     	Heartbeat Tempo Mapped-41.L   	   00:04:27:14	   00:04:27:14	   00:00:00:00	Unmuted
1       	684     	Heartbeat Tempo Mapped-42.L   	   00:04:27:14	   00:04:28:02	   00:00:00:17	Unmuted
1       	685     	Heartbeat Tempo Mapped-34.L   	   00:04:28:03	   00:04:28:11	   00:00:00:07	Unmuted
1       	686     	Heartbeat Tempo Mapped-35.L   	   00:04:28:11	   00:04:29:00	   00:00:00:18	Unmuted
1       	687     	Heartbeat Tempo Mapped-36.L   	   00:04:29:01	   00:04:29:09	   00:00:00:07	Unmuted
1       	688     	Heartbeat Tempo Mapped-37.L   	   00:04:29:10	   00:04:29:28	   00:00:00:17	Unmuted
1       	689     	Heartbeat Tempo Mapped-38.L   	   00:04:29:29	   00:04:30:08	   00:00:00:08	Unmuted
1       	690     	Heartbeat Tempo Mapped-39.L   	   00:04:30:08	   00:04:30:26	   00:00:00:17	Unmuted
1       	691     	Heartbeat Tempo Mapped-40.L   	   00:04:30:27	   00:04:31:05	   00:00:00:08	Unmuted
1       	692     	Heartbeat Tempo Mapped-41.L   	   00:04:31:06	   00:04:31:06	   00:00:00:00	Unmuted
1       	693     	Heartbeat Tempo Mapped-42.L   	   00:04:31:06	   00:04:31:24	   00:00:00:17	Unmuted
1       	694     	Heartbeat Tempo Mapped-34.L   	   00:04:31:25	   00:04:32:03	   00:00:00:07	Unmuted
1       	695     	Heartbeat Tempo Mapped-35.L   	   00:04:32:04	   00:04:32:22	   00:00:00:18	Unmuted
1       	696     	Heartbeat Tempo Mapped-36.L   	   00:04:32:24	   00:04:33:02	   00:00:00:07	Unmuted
1       	697     	Heartbeat Tempo Mapped-37.L   	   00:04:33:02	   00:04:33:20	   00:00:00:17	Unmuted
1       	698     	Heartbeat Tempo Mapped-38.L   	   00:04:33:22	   00:04:34:00	   00:00:00:08	Unmuted
1       	699     	Heartbeat Tempo Mapped-39.L   	   00:04:34:01	   00:04:34:18	   00:00:00:17	Unmuted
1       	700     	Heartbeat Tempo Mapped-40.L   	   00:04:34:20	   00:04:34:28	   00:00:00:08	Unmuted
1       	701     	Heartbeat Tempo Mapped-41.L   	   00:04:34:29	   00:04:34:29	   00:00:00:00	Unmuted
1       	702     	Heartbeat Tempo Mapped-42.L   	   00:04:34:29	   00:04:35:17	   00:00:00:17	Unmuted
1       	703     	Heartbeat Tempo Mapped-34.L   	   00:04:35:18	   00:04:35:26	   00:00:00:07	Unmuted
1       	704     	Heartbeat Tempo Mapped-35.L   	   00:04:35:27	   00:04:36:15	   00:00:00:18	Unmuted
1       	705     	Heartbeat Tempo Mapped-36.L   	   00:04:36:16	   00:04:36:24	   00:00:00:07	Unmuted
1       	706     	Heartbeat Tempo Mapped-37.L   	   00:04:36:25	   00:04:37:13	   00:00:00:17	Unmuted
1       	707     	Heartbeat Tempo Mapped-38.L   	   00:04:37:14	   00:04:37:23	   00:00:00:08	Unmuted
1       	708     	Heartbeat Tempo Mapped-39.L   	   00:04:37:24	   00:04:38:11	   00:00:00:17	Unmuted
1       	709     	Heartbeat Tempo Mapped-40.L   	   00:04:38:13	   00:04:38:21	   00:00:00:08	Unmuted
1       	710     	Heartbeat Tempo Mapped-41.L   	   00:04:38:22	   00:04:38:22	   00:00:00:00	Unmuted
1       	711     	Heartbeat Tempo Mapped-42.L   	   00:04:38:22	   00:04:39:10	   00:00:00:17	Unmuted
1       	712     	Heartbeat Tempo Mapped-34.L   	   00:04:39:11	   00:04:39:19	   00:00:00:07	Unmuted
1       	713     	Heartbeat Tempo Mapped-35.L   	   00:04:39:20	   00:04:40:08	   00:00:00:18	Unmuted
1       	714     	Heartbeat Tempo Mapped-36.L   	   00:04:40:10	   00:04:40:18	   00:00:00:07	Unmuted
1       	715     	Heartbeat Tempo Mapped-37.L   	   00:04:40:18	   00:04:41:06	   00:00:00:17	Unmuted
1       	716     	Heartbeat Tempo Mapped-38.L   	   00:04:41:08	   00:04:41:16	   00:00:00:08	Unmuted
1       	717     	Heartbeat Tempo Mapped-39.L   	   00:04:41:17	   00:04:42:05	   00:00:00:17	Unmuted
1       	718     	Heartbeat Tempo Mapped-40.L   	   00:04:42:06	   00:04:42:15	   00:00:00:08	Unmuted
1       	719     	Heartbeat Tempo Mapped-41.L   	   00:04:42:15	   00:04:42:16	   00:00:00:00	Unmuted
1       	720     	Heartbeat Tempo Mapped-42.L   	   00:04:42:16	   00:04:43:03	   00:00:00:17	Unmuted
1       	721     	Heartbeat Tempo Mapped-34.L   	   00:04:43:05	   00:04:43:13	   00:00:00:07	Unmuted
1       	722     	Heartbeat Tempo Mapped-35.L   	   00:04:43:13	   00:04:44:02	   00:00:00:18	Unmuted
1       	723     	Heartbeat Tempo Mapped-36.L   	   00:04:44:03	   00:04:44:11	   00:00:00:07	Unmuted
1       	724     	Heartbeat Tempo Mapped-37.L   	   00:04:44:12	   00:04:45:00	   00:00:00:17	Unmuted
1       	725     	Heartbeat Tempo Mapped-38.L   	   00:04:45:02	   00:04:45:10	   00:00:00:08	Unmuted
1       	726     	Heartbeat Tempo Mapped-39.L   	   00:04:45:11	   00:04:45:29	   00:00:00:17	Unmuted
1       	727     	Heartbeat Tempo Mapped-40.L   	   00:04:46:00	   00:04:46:09	   00:00:00:08	Unmuted
1       	728     	Heartbeat Tempo Mapped-41.L   	   00:04:46:09	   00:04:46:10	   00:00:00:00	Unmuted
1       	729     	Heartbeat Tempo Mapped-42.L   	   00:04:46:10	   00:04:46:27	   00:00:00:17	Unmuted
1       	730     	Heartbeat Tempo Mapped-34.L   	   00:04:46:29	   00:04:47:07	   00:00:00:07	Unmuted
1       	731     	Heartbeat Tempo Mapped-35.L   	   00:04:47:08	   00:04:47:26	   00:00:00:18	Unmuted
1       	732     	Heartbeat Tempo Mapped-36.L   	   00:04:47:28	   00:04:48:06	   00:00:00:07	Unmuted
1       	733     	Heartbeat Tempo Mapped-37.L   	   00:04:48:06	   00:04:48:24	   00:00:00:17	Unmuted
1       	734     	Heartbeat Tempo Mapped-38.L   	   00:04:48:26	   00:04:49:05	   00:00:00:08	Unmuted
1       	735     	Heartbeat Tempo Mapped-39.L   	   00:04:49:05	   00:04:49:23	   00:00:00:17	Unmuted
1       	736     	Heartbeat Tempo Mapped-40.L   	   00:04:49:25	   00:04:50:03	   00:00:00:08	Unmuted
1       	737     	Heartbeat Tempo Mapped-41.L   	   00:04:50:04	   00:04:50:04	   00:00:00:00	Unmuted
1       	738     	Heartbeat Tempo Mapped-42.L   	   00:04:50:04	   00:04:50:22	   00:00:00:17	Unmuted
1       	739     	Heartbeat Tempo Mapped-34.L   	   00:04:50:23	   00:04:51:01	   00:00:00:07	Unmuted
1       	740     	Heartbeat Tempo Mapped-35.L   	   00:04:51:02	   00:04:51:20	   00:00:00:18	Unmuted
1       	741     	Heartbeat Tempo Mapped-36.L   	   00:04:51:22	   00:04:52:00	   00:00:00:07	Unmuted
1       	742     	Heartbeat Tempo Mapped-37.L   	   00:04:52:01	   00:04:52:19	   00:00:00:17	Unmuted
1       	743     	Heartbeat Tempo Mapped-38.L   	   00:04:52:21	   00:04:52:29	   00:00:00:08	Unmuted
1       	744     	Heartbeat Tempo Mapped-39.L   	   00:04:53:00	   00:04:53:18	   00:00:00:17	Unmuted
1       	745     	Heartbeat Tempo Mapped-40.L   	   00:04:53:20	   00:04:53:28	   00:00:00:08	Unmuted
1       	746     	Heartbeat Tempo Mapped-41.L   	   00:04:53:29	   00:04:53:29	   00:00:00:00	Unmuted
1       	747     	Heartbeat Tempo Mapped-42.L   	   00:04:53:29	   00:04:54:16	   00:00:00:17	Unmuted
1       	748     	Heartbeat Tempo Mapped-34.L   	   00:04:54:18	   00:04:54:26	   00:00:00:07	Unmuted
1       	749     	Heartbeat Tempo Mapped-35.L   	   00:04:54:27	   00:04:55:15	   00:00:00:18	Unmuted
1       	750     	Heartbeat Tempo Mapped-36.L   	   00:04:55:17	   00:04:55:25	   00:00:00:07	Unmuted
1       	751     	Heartbeat Tempo Mapped-37.L   	   00:04:55:26	   00:04:56:14	   00:00:00:17	Unmuted
1       	752     	Heartbeat Tempo Mapped-38.L   	   00:04:56:16	   00:04:56:24	   00:00:00:08	Unmuted
1       	753     	Heartbeat Tempo Mapped-39.L   	   00:04:56:25	   00:04:57:13	   00:00:00:17	Unmuted
1       	754     	Heartbeat Tempo Mapped-40.L   	   00:04:57:15	   00:04:57:23	   00:00:00:08	Unmuted
1       	755     	Heartbeat Tempo Mapped-41.L   	   00:04:57:24	   00:04:57:24	   00:00:00:00	Unmuted
1       	756     	Heartbeat Tempo Mapped-42.L   	   00:04:57:24	   00:04:58:12	   00:00:00:17	Unmuted
1       	757     	Heartbeat Tempo Mapped-34.L   	   00:04:58:14	   00:04:58:22	   00:00:00:07	Unmuted
1       	758     	Heartbeat Tempo Mapped-35.L   	   00:04:58:22	   00:04:59:11	   00:00:00:18	Unmuted
1       	759     	Heartbeat Tempo Mapped-36.L   	   00:04:59:13	   00:04:59:21	   00:00:00:07	Unmuted
